step,elapsed_tokens,elapsed_examples,training_loss,training_sequence_accuracy,training_token_accuracy,validation_loss,validation_sequence_accuracy,validation_token_accuracy,classification/accuracy,classification/precision,classification/recall,classification/auroc,classification/auprc,classification/f1.0
93,672232,744,0.12103151877419481,0.5,0.5,,,,,,,,,
94,679472,752,0.12046350967355701,0.5,0.5,,,,,,,,,
95,688696,760,0.09802402917762307,0.625,0.625,,,,,,,,,
96,696192,768,0.13668456179463662,0.75,0.75,,,,,,,,,
97,701960,776,0.11069806423345424,0.875,0.875,,,,,,,,,
98,711248,784,0.11615642510505221,0.75,0.75,,,,,,,,,
99,719448,792,0.09210770510073095,0.375,0.375,,,,,,,,,
100,726816,800,0.1469244879181907,0.875,0.875,,,,,,,,,
101,735784,808,0.14684848262815323,0.5,0.5,,,,,,,,,
102,743408,816,0.09550178570430871,0.875,0.875,,,,,,,,,
103,747256,824,0.12125450865278306,1.0,1.0,,,,,,,,,
104,757696,832,0.09778298094486065,0.75,0.75,,,,,,,,,
105,763464,840,0.1617664010699999,0.75,0.75,,,,,,,,,
106,770512,848,0.1261653365636014,0.625,0.625,,,,,,,,,
107,777496,856,0.1470971102440307,0.875,0.875,,,,,,,,,
108,786656,864,0.09339979319533594,0.875,0.875,,,,,,,,,
109,791720,872,0.19243699259719854,0.75,0.75,,,,,,,,,
110,796528,880,0.12687691052238073,0.625,0.625,,,,,,,,,
111,803896,888,0.10613889736556925,0.875,0.875,,,,,,,,,
112,811392,896,0.09664095065090852,0.75,0.75,,,,,,,,,
113,818376,904,0.10522206193445424,0.75,0.75,,,,,,,,,
114,828560,912,0.12864608962439222,0.75,0.75,,,,,,,,,
115,834776,920,0.13110486034356322,0.75,0.75,,,,,,,,,
116,841184,928,0.12981838096706433,0.75,0.75,,,,,,,,,
117,849384,936,0.12340366008720087,0.875,0.875,,,,,,,,,
118,860464,944,0.14473687676693966,0.875,0.875,,,,,,,,,
119,867704,952,0.11157820506790549,1.0,1.0,,,,,,,,,
120,875584,960,0.1120966810514956,0.875,0.875,,,,,,,,,
121,883784,968,0.11041117705269815,1.0,1.0,,,,,,,,,
122,890576,976,0.10869640938179526,0.75,0.75,,,,,,,,,
123,898968,984,0.1395783021054159,0.625,0.625,,,,,,,,,
124,905120,992,0.1236320470881086,0.75,0.75,,,,,,,,,
125,911016,1000,0.14542427403102406,0.625,0.625,,,,,,,,,
126,917424,1008,0.11021694142681877,0.625,0.625,,,,,,,,,
127,923896,1016,0.13552183706122894,0.75,0.75,,,,,,,,,
128,935360,1024,0.10280423560110119,0.5,0.5,,,,,,,,,
